Kaizen_title,background,baseline,issue
PO - PP kaizen toy HCC00,PP Kaizen untk memastikan PS berjalan lancar,Excess motion dan cT tidak balance di beberapa proses,"Kesulitan saat proses assy to PET earing support.-kesulitan saat memasukkan danggle earing dengan proses ;
Assy earing -->attach  stud earing ke PET support--.>attach danggle earing ke lubang support earing. CT 89s,Excess motion pada proses attach earing RL ke support.-Dengan methode :
Assy earing 1 pc --> attach to support earing--> .attach earing to L ear --> Assy earing 1 pc --> attach to support earing__.attach earing to R ear ( 2 kali mengambil dan meletakkan grrom head.CT 89s,Excess motion saat apply johnson earing.-Tempat johnson terlalu tinggi, sedang bidang earing terlalu kecil.CT 67s,excess motion pada proses handsew hair.-saat proses handsewhair , tangan opt menhan rambut. Ct 295s.,Issue imp microtach midlle dress 5/10 =500.000 ppm-Proses microtach di lakukan sebelum doll di atach ke insert.,CT tidak balance di beberapa proses.-CT tinggi = opt 1 : Lock sratp R& L leg-->microtach lower skirt-->Locking insert lower  CT 142s
CT rendah-=opt 2: Attach stick tinsert-->locking insert upper-->attach dollbase--> certificate & tape . Ct 61s "
Improve Quality line B1 Toy HJX18 Part 11029-29777,"Toy massal
","Eff 36% 
",NULL
PO - New line toy HKD79 ,New line ,Line G07,"CT tidak balance diproses dressing attach shoes-1 operator proses attach dressing to torso CT 20""
1 operator proses attach shoes to torso CT 10"",CT tidak balance diproses spotwelding dengan proses attach stiker monitor -1 operator proses spotwelding to blister CT 10 ""
1 operator proses attach stiker to monitor,attach monitor to iner blister CT 21"",CT tidak balance diproses pinwaist dengan proses hair back pack -1 operator proses r/b hair backpack CT 10""

1 operator proses pinwaist body,leg, dan hand , tack head X2 to insert 20"",CT tidak balance diproses asesories dengan proses lock asesories -1 operator proses attach bottle,ice cream to iner blister CT 12 ""
1 operator proses lock asesories to insert CT 21"",Came off asesories -Iner blister untuk asesories cetakannya terlalu longgar sehingga mudah lepas "
PO - Kaizen New Line Toy HKD79,New line,"Schedule 1500, effisiensi 110%","Penumpukan jig di samping oven di dalam box sehingga susah mencari jig yang di butuhkan potensi menjatuhi kaki-Melebihi kapasitas box ,Ct tidak balance di proses date code acc box, dressing, attach shoes ct 19s tt 15s dan proses join head, merapikan hair ct 11s--,Ct tinggi di proses assy acc tray, ice cream, choco syrup to inner blister, slot inner blister to insert dilakukan 2 operator dengan proses yang sama ct  masing masing 36s--,Ct tinggi di proses attac label to acc lap top, assy to inner blister, slot to insert di lakukan 2 operator dengan proses yang sama masing masing ct 34s--"
Improve Quality line B06 Toy HKP99 Part 11028-88817,"Toy massal 
","Eff 21% 
",NULL
Improve Quality line B26 Toy TOY HKT77 PART 11028-97836,"Toy running beberapa group
","Eff : 51%
",NULL
ADDING 1 PHASE SOCKET FOR LINE TOOLING ,no additional 1 phase power socket for line tooling equipment,40 machines are not provided with 1 phase power socket for line toolimng,45/65 machine are not provided with extra socket for 1 phase power
TA - improment quaality HCB87 Balet,RE run toy supaya lancar,Scratch leg 100/100,"Scratch leg ,exes motion proses joint,Botol Npac di atas meja potensi tumpah"
Propose Simplify Pack Out Process GRB35,"The sealing process is one of the complex processes in the GRB35 pack-out, They used gluing, positioning, and pressing for sealing.",Reduce Hours form 40.02 HRS to 35.67 HRS,Manual Process Gluing and Sealing 
Improve Quality line B12 Toy HJX36 Part 11029-37808,"Toy massal
","Eff 40% 
",NULL
Improve Quality line B9 Toy HKR01 Part 11028-88760,"Toy massal
","Eff 58% 
",NULL
Improve Quality line B12 Toy HCB87 Part 11026-75177,"Toy re run
","Eff 42% 
",NULL
Improve Quality line B11 Toy HGR60 Part 11027-57503,"Toy re run
","Eff 74% 
",NULL
Improve Quality line B10 Toy HJY84 Part 11029-68654,"Toy massal
","Eff 75% 
",NULL
Improve Quality line B10 Toy HJY84 Part 11029-68655,"Toy re run
","Eff 59%
",NULL
PO - New line toy HKD79,New line,CT TDK balance dii proses acc,"Safety 
Cover mesin conveyor terlalu dekat dengan belt Conveyor potensi tangan terjepit 
Cover di geser ke depan ..sehingga jauh dengan posisi belt conveyor -Proses TDK Balan di :
Proses date code acc  CT 10
Proses pasang label to acc dan assy to blister CT 20
Proses pasang label to acc di combain ke proses date code acc 
CT :18,Assy acc 6pc dan pasang RB to blister CT : 19
Proses pasang 2pc  dan ikat acc to blister 
CT  16
Proses pasang RB di combain ke proses pasang acc 2pc CT 18-Proses selot acc,pasang table ,pasang waistraf to insert dengan 3 Operarator CT masing 21
Balance proses 
2opearator mengerjakan  proses selot dan pasang table to insert CT 36
1operator pasang waistraf to insert CT 18"
PIM - Reduce steel fin connector 0.15 mm pada mold HGR05-U981,"Ukuran connector dengan steel mempunyai selisih sehingga mengakibatkan pada saat pemasangan connector jatuh-jatuh, dan menyebabkan flash pada produk",Connector jatuh-jatuh dan flash ,"Connector jatuh-jatuh ( akan menyebabkan part blackspot karna pemasangan yg lama pada connector, material PVC)-Ukuran kurang pas dengan connector ,Menyebabkan flash-Connector yg terjepi"
TA - Improvement quality HCB80 ,supaya Re run berjalan dengan lancar,reject rubber pet 10/10,"Nest joind leg kendor sering turun sendiri potensi tangan operator terjepit,Issue rubber pet susah saat di masukin ke upper leg"
SP - PP kaizen spray line 7 TOY HHK51 Shoes,Memastikan PS berjalan lancar,Reject smear 1000.000 ppm,"Flexsible house di atas line 10 dan 11 pecah dan berdebu 
Root cause:
Long time ,Reject smear 1000.000 ppm pada bagian samping kanan dan kiri
Root cause:
 Variasi ukuran jig dan design mask variasi "
TP - IMPROVEMENT QUALITY & PRODUCTIVITY ARM TOY HJX29,"DOWN TIME COLOUR LEBIH DARI 3 JAM , COLOUR TIDAK SAMA DG APP SAMPLE ",DOWN TIME COLOUR LEBIH DARI 3 JAM,"Baut Sambungan pipa kendor di mc CMYK D 9-Baut kendor potensi baut jatuh kena kepala operator,Down time colour nail lebih dari 3jam , colour tidak sama actual vs app sample-actual proses warna lebih muda vs app sample, cat di ganti yg baru 3x blm ok, rubber di ganti dg yg baru blm ok plate diganti yg baru blm ok"
DC - PP TOY HPJ97 DAN HHK5 (2 des),Pp kaizen memastikan ps berjalan lancar ,Hours wo tidak sesuai actual,"Hpj97-4491 star awal setiting mc 45 menit-Roll fabric tetbalik dari vendor sehingga hasil potong loncat harus setting mc lagi,Hpj97-4491 saat cuting lama selesai 1000pc tidak sesuai waktu dari wo-Hours wo tidak sesuai actual wo=7.4 actual 9.4,Hpj97-4492 selesai untuk scedul 1000 tidak tepat waktu-Hours wo ridak sesuai actual , wo 3.4 actual 4.4,Quality hhk53 426unbalance solder 3/5-Fabric bowing dan hasil collar harus V,Hhk53-4261 selessi tdak tepat waktu-Hours wo tidak sesuai actual hours wo 3.5 actual 5.9"
TP - PP KAIZEN TOY HLC18 UPPER TORSO CHELSEA UNCR,Down time nunggu PP 2 hari karena part dari Molding banyak rijek 500.000 ppm,Part rijek dari Molding 500.000 ppm,"Kursi patah bagian bawah tempat meletakan tas potensi kaki operator tergores patahan besi
Root cause:
Kursi life time,Kesalahan pada saat preparation material (material tidak tersedia saat akan running)
Root cause:
IC preparation material berdasarkan system yang ada, dan terbaca hanya part no upper uppernya saja,Misspostion Deco Tampo bagian pinggir atas 4/10 
Root cause:
Pada bagian atas part tidak tercover oleh rubber karena kurang tekanan & sudah ditambah tekanan masih belum Ok ,tes"
PO - Kaizen Quality improvement toy HLW09,Finding reject LBO dirrty face by hair setting di PO,"Reject dirty face 1/1900 = 526ppm, reject cracking bang 35/1900 = 18421pp","Cover temperatur control mesin oven no 13 goyang-Screw lepas 1,Pegboard macet saat di geser dan potensi pegboard jatuh-Sambungan longgar/ada gap,Reject LBO dirty face by hair setting 1/1900 = 526ppme-Saat proses cleaning face kurang tekan dan hanya menggunakan aquades saat dirty nya tebal,Reject cracking bang 35/1900 = 18421pp-Pengambilan hair proses hair backing tipis, Saat apply hair setting kurang rata dan tidak mengikuti jig"
Improve Schedule PP & FEP stage,Sample received far from its piloting schedule,Handover was 20 days late because the PP P/O schedule was delayed and the paint had not been made by the paint mixing team,"Sample received far from its piloting schedule.
For example, HHK52 I coffin handover was 20 days late because the PP P/O schedule was delayed and the paint had not been made by the paint mixing team,There are no parts for buy off, which is the most difficult when the parts are purchase parts.
,If the development team is late in handover samples to IE team, the IE team will be even late in handover to production.
,Incomplete document for handover to production (Doc: approved sample, tool/nest, TI, method sheet)"
CR - improvement quality Mc curling no 5 & no 6,Mc curling no 5 & 6  stand benangnya terlalu dekat.,"Mengakibatkan benang berbenturan , sehingga kusut & gulung.","Mc no 10 saat mc di matikan tidak langsung bèrhenti.-Coil bearing mc no 10 error,Benang kusut & gulung di mc n 5 & 6-Stand benang di mc 5 & 6 terlalu dekat.,Pengunci chamber di mc 64 tidak proper-Baud pengunci chamber kendor,Antara mc 91 - 96 traiking listrik tidak tertutup.-Traiking listrik di mc 91- 96 belum tertutup.,Vand belt bergeser di mc 39 saat mc beroperasi.-Vand belt mepet di mc"
PIM - Improve Quality Horn HGM66 Di mesin M3v3,Reject variasi color saat running,"Reject Variasi color 500,000 PPM",Variasi color saat running dan part dihold dan sch minus karena material menggunakan master batch dan tonage mesin  kecil  
PIM - Improve Quality Lower Arm FRL98 di Mesin X7,Sch tidak tercapai karena ada issue flash dan over part un-trimming,"Flash 500,000 PPM",Reject flash saat running yang terjadi karena mold mismatch dan kotor sehingga over part un- trimming dan sch tidak tercapai 
PIM - Improve Quality GJK08 Fin di Mesin W7,"Adanya issue Black spot ,Silver, weldline, short shot sehingga output tidak tercapai","Reject blackspot,silver ,weldline ,short shot 500,000 PPM","Reject blackspot ,siver, weld line, dan short shot yang terjadi karena Setting mesin terlalu rendah,temperatur tidak stabil sehingga material kurang panas "
TP - Improve Performance Toy GG046 and HCN84,Low Performance Output of GG046 & HCN84,Performance output 45% during January,NULL
TA - PP Kaizen Toy HHG57 Torso,PP Kaizen untuk memastikan PS berjalan lancar,"Reject Gap 1,000,000 PPM","Reject gap tail dan body torso karena rubber terlalu tinggi (tidak sampai ke torso),Reject gap tail karena aliran ethyl tidak rata,CT tinggi di proses clamping tail setelah clamping tail harus diluruskan karena nest body keras sehingga part susah untuk di tarik "
SP IMPROVMENT PRODUCTIVITY HCC88 WATER SOLUBLE,NULL,NULL,NULL
BBD - PP KAIZEN TOY HHG53 Painted Head,Memastikan saat PS berjalan lancar,"Down time saat PP lebih dari 2 jam,Reject misposition lips 48/600","Reject misposition 80,000PPM setelah proses BBD, LTCC tidak stabil antara gigi dan lips naik-turun 
,Warna lips tidak sama dengan approve sample
,Down time saat running PP 2 jam karana settingan mesin tidak stabil, warna dengan approve sample berbeda, material yang bervariasi
"
SP - Improvement Productivity dan Quality HCC CHLS Series Water soluble,Tooling tidak proper,"Reject under spray 1000,000PPM,Reject smear paint 1000,000PPM","Reject under spray & smear setelah proses WS 1000,000PPM pada bagian pundak dan leher saat proses spray WS manual dengan iwata
"
PO - Kaizen New Line Toy GWV01 ,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses attach r/b ½ “ 3pcs dan proses tag head
,CT tidak balance di proses date code torso dan proses attach jacket
,CT tidak balance di proses join head dan proses pin waist
,CT tidak balance di proses attach strap chair dan proses attach chip art to table
,CT tidak balance di proses doll to ic dan proses doll to mc
"
Reduce Kraft Paper usage in Manual Die Cut Process ,High usage of kraft paper as fabric base on manual die cut process,87 tons per year ~ 1 billion rupiah / year,"Potency to change spec of paper 
,Scratch Teflon ( Teflon bolak-balik)
,Poor Dies 
(1,700/cm)
,No pressure standard (Different Fab, plies, & spec) 
,Poor Dies 
(1,700/cm)
,Potency to change # of  paper plies 
"
FA - Kaizen New Line Toy GXT41,New line,Ct tidak balance di beberapa proses,"Ct tidak balance di proses date code torso dan join head-* proses date code torso + dressing ct: 8s tt: 13s
* proses pasang shoes + join head + rapiin rambut ct: 15s tt: 13s,Ct tidak balance di proses r/b car dan proses assy dogy-* proses r/b car ct: 9s tt: 13s
* proses assy dogi+ r/b + assy doll to car,Ct tidak balance di proses slot blister car dan proses press-*proses slot blister car to insert dgn 2 opt ct rata2 :20s
*proses press blistet +isolatif blister 4x ct:15,Ct tinggi di proses creasing insert-Proses creasing insert+ isolatifto insert+ assy sticker+ pasang sticker to insert dengan 2 opt ct: 25s dan 29 s,Loose ribbon 10/270 =37,037 ppm-Re training opt kembali  pada saat pasang ribbon harus memastikan ribbon masuk ke dalam natnya dan opt proses r/ b car wajib  melakukan fungtion ribbon"
FA - kaizen  new line Toy HJT07,New line,Beberapa proses tidak balance di groming ,"CT tinggi di proses Groming style hair-3 operator groming total CT=65 s output 166 pc per jam,output yang dibutuhkan 180pc per jam
1 oprt buka topeng + cleaning face CT= 10 s,CT tidak balance di proses Groming handsew hair & hairsetting.-- 5 oprt handsew hair CT= 463 s output 195 pc per jam
- 2 oprt hairsetting hair CT= 66 s,Ditemukan improver Bun groming head 2/20 pcs.
-Ditemukan dari 5 jig potong 1 tidak sama ukurannya (0.3 mm)."
FA - New Line toy GJM72 ,Newline ,"output dijam pertama : 140 act 40
output dijam ke 2 :360 act 300
output dijam ke 3 : 360 act 360","Ct tdk balance diproses attach pair Batons & attach strap for Base-1. Attach pair botons 2 pc with RB 1"" to insert ct 11s
2. Attach strap for Base leg gimnastic to insert , attach base leg gymnastic beam green with strap.
Ct: a. 18s
ct:  b. 18s,Ct tdk balance diproses assy acc & attach acc to insert -1. attach Gymbag , water bottle, snack pack, banana , sneaker 2 pc to blister acc Ct, A : 21s,Ct operator B 22s,sedangkan operator  Lock acc blister to insert 3x ,ct 8s
                             
 ,Ct tdk balance diproses ikat RB 1"", left Hand dan pinwaist 
-1.- Fold waist & move leg barbie go degree R/L
   - elastic staples barbie waist 1x (estem)
 - elastic staples barbie leg R/L with Gyimnastic beam 2x (estem)ct 11s
2. tie join upper leg & left hand with R/B 1"" ct 8"",kaki meja menggantung -potensi kejepit"
